Name,Street,City,State,Country,Zipcode,Latitude,Longitude,Category
Columbretes Islands,,Castellón,Valencian Community,Spain,,39.853884,0.674373,Lizard
Namtso,,Lhasa,Tibet,China,,30.822064,90.900964,Lizard
Nagqu Tibet Plateau,,Nagqu,Tibet,China,,31.240985,91.627303,Lizard
Shigatase Tibet,,Shigatse,Tibet,China,,29.287597,88.889086,Lizard
Shigatse Tibet,,Shigatse,Tibet,China,,29.764377,83.957523,Lizard
Nagari Tibet,,Ngari Prefecture,Tibet,China,,33.38272,79.712348,Lizard
Babuyan Islands,,,Cagayan Valley,Philippines,,19.347428,121.468113,Lizard
Northern Luzon,,Bagabag,Cagayan Valley,Philippines,,16.611848,121.259597,Lizard
Bicol Peninsula,,Buhi,Kabikulan,Philippines,,13.62322,123.19318,Lizard
Negros,,,,Philippines,,9.690106,122.900077,Lizard
Islet of Licosa,,Castellabate,Campania,Italy,84048,40.253067,14.903633,Lizard
California Polytechnic State University,1 Grand Avenue,San Luis Obispo,California,United States,93407,35.30122,-120.66201,Lizard
Luokeng Reservior,,Shaoguan,,China,512135,24.517,113.33628,Lizard
Daguishan National Forest Park Parking Lot,,He Zhou Shi,Guang Xi Zhuang Zu Zi Zhi Qu,China,542824,24.201879,-248.302002,Lizard
Coronado National Forest,,Pima County,Arizona,United States,85619,32.32729,-110.63754,Lizard
La Malinche National Park,,Tlaxcala de Xicohténcatl,Tlaxcala,Mexico,90847,19.225583,-98.044861,Lizard
Gatun Lake,,,,Panama,,9.163111,-79.946147,Lizard
Suburbs of Turpan,,Tu Lu Fan Shi,Xin Jiang Wei Wu Er Zi Zhi Qu,China,838008,42.85986,89.189319,Lizard
Na Guardis,,Illes Balears,Illes Balears,Spain,,39.310394,2.999946,Lizard
Na Moltona,,Balearic Islands,Balearic Islands,Spain,,39.304284,3.009902,Lizard
Santa Fé Island,,,Galápagos Islands,Ecuador,,-0.815707,-90.065789,Lizard
Plaza Sur,,,Galápagos Islands,Ecuador,,-0.560294,-90.147865,Lizard
