Name,Street,City,State,Country,Zipcode,Latitude,Longitude,Category
Powdermill Nature Reserve,1795 Pennsylvania 381,Rector,Pennsylvania,United States,15677,40.15997,-79.27205,Snakes
Le'an County,,Fuzhou,Jiangxi,China,,27.61562,115.71541,Snakes
Hunan University of Science and Engineering,79 Yang Zi Tang Lu,Yong Zhou Shi,Hu Nan Sheng,China,425101,22.55439,88.30781,Snakes
Babuyan Islands,,Calayan,Cagayan Valley,Philippines,,6.35076,121.9515,Snakes
"Sanya Hainan, South China Costal waters",,Sanya,Hainan,China,,18.145852,109.413287,Snakes
Guangdong Province,,,Guangdong Province,China,,23.34964,113.421318,Snakes
Winona County,,Winona County,Minnesota,United States,,44.046509,-91.789093,Snakes
Winston County,,Winston County,Mississippi,United States,,32.985229,-89.318893,Snakes
Lafayette County,,Lafayette County,Mississippi,United States,,34.350578,-89.246498,Snakes
Fuzhou City,,Fuzhou,Jiangxi,China,,26.0743,119.29654,Snakes
